Summer Girls,LFO,
Stay,Shakespear s Sister,
Never Ever,All Saints,
"I Heard A Rumour (From ""Disorderlies"")",Bananarama,
Venus,Bananarama,
Knockin Da Boots,H-Town,
Hit Me Off,New Edition,
Humpin Around,Bobby Brown,
Heaven Is A Place On Earth,Belinda Carlisle,
Poison,Bell Biv Devoe,
Girlfriend,Pebbles,
You Got It All,The Jets,
Oh Sheila,Ready For The World,
Cool It Now,New Edition,
Sensitivity,Ralph Tresvant,
I d Do Anything For Love (But I Won t Do That),Meat Loaf,
Every Little Step,Bobby Brown,
Could ve Been,Tiffany,
Crush On You,The Jets,
I Get Weak,Belinda Carlisle,
Tell Me It s Real,K-Ci,
Sometimes Love Just Ain t Enough,Patty Smyth,
"Somewhere Out There (From ""An American Tail"")",Linda Ronstadt,
Everything,Jody Watley,
Amanda,Boston,
My Prerogative,Bobby Brown,
Make It Real,The Jets,
I Miss You,Klymaxx,
Miami Vice Theme,Jan Hammer,
Mercedes Boy,Pebbles,
Angel,Shaggy,Rayvon
Looking For A New Love,Jody Watley,
You Belong To The City,Glenn Frey,
On My Own,Patti LaBelle,
Family Affair,Mary J. Blige,
All My Life,K-Ci,
"On Our Own (From ""Ghostbusters II"")",Bobby Brown,
She Ain t Worth It,Glenn Medeiros,Bobby Brown
Axel F,Harold Faltermeyer,
Roni,Bobby Brown,
I Don t Wanna Go On With You Like That,Elton John,
It Wasn t Me,Shaggy,"Ricardo ""RikRok"" Ducent"
Giving You The Benefit,Pebbles,
It Wasn't Me,Shaggy,"Ricardo ""RikRok"" Ducent"
Never Lie,Immature,
Do Me!,Bell Biv Devoe,
"Shakedown (From ""Beverly Hills Cop II"")",Bob Seger,
The Heat Is On,Glenn Frey,
I Think We re Alone Now,Tiffany,
I'd Do Anything For Love (But I Won't Do That),Meat Loaf,
The Lover In Me,Sheena Easton,
Rump Shaker,Wreckx-N-Effect,
You Keep Me Hangin On,Kim Wilde,
Real Love,Jody Watley,
"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio,L.V.
Ray Of Light,Madonna,
"I ll Remember (From ""With Honors"")",Madonna,
Take A Bow,Madonna,
Erotica,Madonna,
Frozen,Madonna,
Don't Tell Me,Madonna,
Secret,Madonna,
Music,Madonna,
Ironic,Alanis Morissette,
Freak Like Me,Adina Howard,
Born To Be My Baby,Bon Jovi,
Always,Bon Jovi,
You Give Love A Bad Name,Bon Jovi,
Love Bites,Def Leppard,
Achy Breaky Heart,Billy Ray Cyrus,
Shout,Tears For Fears,
Wild Night,John Mellencamp,Me Shell Ndegeocello
"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
I ll Be There For You,Bon Jovi,
When Smokey Sings,ABC,
Mmmbop,Hanson,
Wind Of Change,Scorpions,
Livin On A Prayer,Bon Jovi,
Bad Medicine,Bon Jovi,
Armageddon It,Def Leppard,
Head Over Heels,Tears For Fears,
Everybody Wants To Rule The World,Tears For Fears,
Pour Some Sugar On Me,Def Leppard,
From This Moment On,Shania Twain,
You're Still The One,Shania Twain,
You re Still The One,Shania Twain,
Heaven Help Me,Deon Estus,
Music Of My Heart,N Sync,
Talk To Me,Stevie Nicks,
4 Seasons Of Loneliness,Boyz II Men,
I ll Make Love To You,Boyz II Men,
Motownphilly,Boyz II Men,
I Love Your Smile,Shanice,
Dancing On The Ceiling,Lionel Richie,
Back At One,Brian McKnight,
Nightshift,Commodores,
"Say You, Say Me (Title Song From White Nights)",Lionel Richie,
"In The Still Of The Nite (From ""The Jacksons"")",Boyz II Men,
Rub You The Right Way,Johnny Gill,
Water Runs Dry,Boyz II Men,
Where My Girls At?,702,
Because Of You,98 Degrees,
It s So Hard To Say Goodbye To Yesterday,Boyz II Men,
On Bended Knee,Boyz II Men,
Respect Yourself,Bruce Willis,
Mesmerize,Ja Rule,Ashanti
Rock Wit U (Awww Baby),Ashanti,
Always On Time,Ja Rule,Ashanti
Foolish,Ashanti,
The Most Beautiful Girl In The World,The Artist,
Whatta Man,Salt-N-Pepa,En Vogue
Move Ya Body,Nina Sky,Jabba
Shoop,Salt-N-Pepa,
She Will Be Loved,Maroon5,
This Love,Maroon5,
Wild Wild West,Will Smith,Dru Hill
Bailamos,Enrique Iglesias,
This Is How We Do It,Montell Jordan,
Diamonds And Pearls,Prince,The N.P.G.
Cream,Prince,The N.P.G.
Raspberry Beret,Prince,The Revolution
Sign O The Times,The Artist,
Kiss,Prince,The Revolution
U Got The Look,The Artist,
Cream,Prince,The N.P.G.
Lately,Divine,
Touch Me (All Night Long),Cathy Dennis,
Change Of Heart,Cyndi Lauper,
True Colors,Cyndi Lauper,
Smooth Operator,Sade,
The Sweetest Taboo,Sade,
Walk This Way,Run-D.M.C.,
C'mon N' Ride It (The Train),Quad City DJ's,
One More Try,Timmy T.,
Magic Stick,Lil' Kim,50 Cent
All I Need,Jack Wagner,
Mambo No. 5 (A Little Bit Of...),Lou Bega,
God Bless The U.S.A.,American Idol Finalists,
Die Young,Ke$ha,
Since U Been Gone,Kelly Clarkson,
Right Here (Human Nature)/Downtown,SWV,
Just Give Me A Reason,P!nk,Nate Ruess
Suit & Tie,Justin Timberlake,Jay Z
Kyrie,Mr. Mister,
Broken Wings,Mr. Mister,
The Valley Road,Bruce Hornsby,
She s Like The Wind,Patrick Swayze (,Wendy Fraser)
Wrecking Ball,Miley Cyrus,
Blow Me (One Last Kiss),P!nk,
Come On Over Baby (All I Want Is You),Christina Aguilera,
The Freshmen,The Verve Pipe,
Together Forever,Rick Astley,
Everything You Want,Vertical Horizon,
Mirrors,Justin Timberlake,
Timber,Pitbull,Ke$ha
I Turn To You,Christina Aguilera,
Weak,SWV,
Would I Lie To You?,Eurythmics,
Mandolin Rain,Bruce Hornsby,
Macarena (Bayside Boys Mix),Los Del Rio,
Solitaire,Clay Aiken,
Method Of Modern Love,Daryl Hall John Oates,
The Way It Is,Bruce Hornsby,
Waiting For A Star To Fall,Boy Meets Girl,
Stronger (What Doesn't Kill You),Kelly Clarkson,
This Is The Night,Clay Aiken,
She's Like The Wind,Patrick Swayze (,Wendy Fraser)
One Night In Bangkok,Murray Head,
A Moment Like This,Kelly Clarkson,
"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb,
(I ve Had) The Time Of My Life,Bill Medley,
Never Gonna Give You Up,Rick Astley,
Genie In A Bottle,Christina Aguilera,
Beautiful,Christina Aguilera,
Wherever You Will Go,The Calling,
What A Girl Wants,Christina Aguilera,
"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,
Dreamtime,Daryl Hall,
You're The One,SWV,
We Can't Stop,Miley Cyrus,
Inside Your Heaven,Bo Bice,
The Time Of My Life,David Cook,
Blame It,Jamie Foxx,T-Pain
Use Somebody,Kings Of Leon,
We R Who We R,Ke$ha,
TiK ToK,Ke$ha,
Bleeding Love,Leona Lewis,
Your Love Is My Drug,Ke$ha,
It's Not Over,Daughtry,
My Life Would Suck Without You,Kelly Clarkson,
Home,Daughtry,
No One,Alicia Keys,
Girlfriend,Avril Lavigne,
Do I Make You Proud,Taylor Hicks,
Give Me Everything,Pitbull,Ne-Yo
Billionaire,Travie McCoy,Bruno Mars
Some Nights,fun.,
We Are Young,fun.,Janelle Monae
F**k You (Forget You),Cee Lo Green,
Black And Yellow,Wiz Khalifa,
Stereo Hearts,Gym Class Heroes,Adam Levine
I ve Been Thinking About You,Londonbeat,
Breakfast At Tiffany's,Deep Blue Something,
Hit 'Em Up Style (Oops!),Blu Cantrell,
I Want To Be Your Man,Roger,
What Kind Of Man Would I Be?,Chicago,
Tears In Heaven,Eric Clapton,
"Change The World (From ""Phenomenon"")",Eric Clapton,
Masterpiece,Atlantic Starr,
Replay,Iyaz,
I Don t Wanna Live Without Your Love,Chicago,
Roam,The B-52 s,
Look Away,Chicago,
Love Shack,The B-52 s,
One Week,Barenaked Ladies,
Boulevard Of Broken Dreams,Green Day,
"Hold On, We're Going Home",Drake,Majid Jordan
Gangnam Style,PSY,
When I'm Gone,3 Doors Down,
Here Without You,3 Doors Down,
Gentleman,PSY,
Kryptonite,3 Doors Down,
Royals,Lorde,
Cruise,Florida Georgia Line,Nelly
At This Moment,Billy Vera,
R.O.C.K. In The U.S.A. (A Salute to 60 s Rock),John Mellencamp,
Photograph,Nickelback,
How You Remind Me,Nickelback,
Holy Grail,Jay Z,Justin Timberlake
Empire State Of Mind,Jay-Z,Alicia Keys
Run This Town,Jay-Z,Rihanna
Dirt Off Your Shoulder,Jay-Z,
'03 Bonnie & Clyde,Jay-Z,Beyonce Knowles
Hey Ma,Cam'ron,Juelz Santana
Oh Boy,Cam'ron,Juelz Santana
Fortunate,Maxwell,
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,
Harlem Shuffle,The Rolling Stones,
"For You I Will (From ""Space Jam"")",Monica,
Don't Take It Personal (Just One Of Dem Days),Monica,
Gangsta Lovin',Eve,Alicia Keys
Let Me Blow Ya Mind,Eve,Gwen Stefani
Jump,Kris Kross,
Doo Wop (That Thing),Lauryn Hill,
"Look Into My Eyes (From ""Batman & Robin"")",Bone Thugs-N-Harmony,
Tha Crossroads,Bone Thugs-N-Harmony,
"Look Into My Eyes (From ""Batman",Bone Thugs-N-Harmony,
Hold On,Wilson Phillips,
You re In Love,Wilson Phillips,
Just Another Day,Jon Secada,
Release Me,Wilson Phillips,
"Right Here, Right Now",Jesus Jones,
Real Real Real,Jesus Jones,
Pump Up The Jam,Technotronic,
Impulsive,Wilson Phillips,
Ice Ice Baby,Vanilla Ice,
Play That Funky Music,Vanilla Ice,
Lean Back,Terror Squad,
Lonely,Akon,
Pon de Replay,Rihanna,
Living In America,James Brown,
Burning Heart,Survivor,
The Search Is Over,Survivor,
21 Questions,50 Cent,Nate Dogg
P.I.M.P.,50 Cent,
Lose Yourself,Eminem,
Just A Lil Bit,50 Cent,
Disco Inferno,50 Cent,
In Da Club,50 Cent,
Candy Shop,50 Cent,Olivia
"1, 2 Step",Ciara,Missy Elliott
Goodies,Ciara,Petey Pablo
Oh,Ciara,Ludacris
Papa Don t Preach,Madonna,
Open Your Heart,Madonna,
Angel,Madonna,
Like A Prayer,Madonna,
Justify My Love,Madonna,
Dress You Up,Madonna,
Causing A Commotion,Madonna,
Who s That Girl,Madonna,
Live To Tell,Madonna,
I ll Be Your Everything,Tommy Page,
Material Girl,Madonna,
La Isla Bonita,Madonna,
Cherish,Madonna,
This Used To Be My Playground,Madonna,
True Blue,Madonna,
Like A Virgin,Madonna,
Express Yourself,Madonna,
Vogue,Madonna,
La Bamba,Los Lobos,
Tipsy,J-Kwon,
Just Kickin It,Xscape,
Where The Party At,Jagged Edge,Nelly
Damn!,YoungBloodZ,Lil Jon
Just Kickin' It,Xscape,
I Wanna Be Rich,Calloway,
My Baby,Lil' Romeo,
Stroke You Up,Changing Faces,
Kiss Me,Sixpence None The Richer,
Milkshake,Kelis,
Frontin',Pharrell,Jay-Z
Sunshine,Lil' Flip,Lea
"Bump, Bump, Bump",B2K,P. Diddy
Part-Time Lover,Stevie Wonder,
What's Luv?,Fat Joe,Ashanti
Make It Hot,Nicole,"Missy ""Misdemeanor"" Elliott"
Lose Control,Missy Elliott,Ciara
Hot Boyz,"Missy ""Misdemeanor"" Elliott",NAS
Work It,"Missy ""Misdemeanor"" Elliott",
Wonderful,Ja Rule,R. Kelly
Jump Around,House Of Pain,
What s On Your Mind (Pure Energy),Information Society,
Fantastic Voyage,Coolio,
"1, 2, 3, 4 (Sumpin' New)",Coolio,
Who Dat,JT Money,Sole
Follow Me,Uncle Kracker,
Bring It All To Me,Blaque,
All Cried Out,Allure,112
Grillz,Nelly,Paul Wall
I Know You Want Me (Calle Ocho),Pitbull,
Mouth,Merril Bainbridge,
The Hardest Thing,98 Degrees,
"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,
Give Me Just One Night (Una Noche),98 Degrees,
Lollipop,Lil Wayne,Static Major
Too Little Too Late,JoJo,
BedRock,Young Money,Lloyd
Day 'N' Nite,Kid Cudi,
Don't Matter,Akon,
Find Your Love,Drake,
I Wanna Love You,Akon,Snoop Dogg
Smack That,Akon,Eminem
Ridin',Chamillionaire,Krayzie Bone
Just A Dream,Nelly,
Party Like A Rockstar,Shop Boyz,
Lips Of An Angel,Hinder,
Fireflies,Owl City,
How To Love,Lil Wayne,
Bubbly,Colbie Caillat,
I Like It,Enrique Iglesias,Pitbull
Let It Rock,Kevin Rudolf,Lil Wayne
Down,Jay Sean,Lil Wayne
You Belong With Me,Taylor Swift,
Tonight (I'm Lovin' You),Enrique Iglesias,Ludacris
She Will,Lil Wayne,Drake
Super Bass,Nicki Minaj,
Somebody That I Used To Know,Gotye,Kimbra
Starships,Nicki Minaj,
Case Of The Ex (Whatcha Gonna Do),Mya,
Candy Rain,Soul For Real,
Lately,Jodeci,
Get Busy,Sean Paul,
Two To Make It Right,Seduction,
I Want Her,Keith Sweat,
I Touch Myself,Divinyls,
Heart And Soul,T Pau,
Buffalo Stance,Neneh Cherry,
"Any Time, Any Place/And On And On",Janet Jackson,
It Ain t Over Til It s Over,Lenny Kravitz,
That s The Way Love Goes,Janet Jackson,
Straight Up,Paula Abdul,
Back To Life,Soul II Soul,
Loverboy,Mariah Carey,Cameo
Someone To Call My Lover,Janet,
I Get Lonely,Janet,BLACKstreet
2 Become 1,Spice Girls,
If,Janet Jackson,
Opposites Attract,Paula Abdul (,The Wild Pair)
All For You,Janet,
Cold Hearted,Paula Abdul,
Again,Janet Jackson,
Roll With It,Steve Winwood,
Again,Lenny Kravitz,
Together Again,Janet,
Wannabe,Spice Girls,
Forever Your Girl,Paula Abdul,
(It s Just) The Way That You Love Me,Paula Abdul,
Shattered Dreams,Johnny Hates Jazz,
Boombastic/In The Summertime,Shaggy,
Say You'll Be There,Spice Girls,
(I Just) Died In Your Arms,Cutting Crew,
Return To Innocence,Enigma,
"Can t Help Falling In Love (From ""Sliver"")",UB40,
Breaking Free,Zac Efron,Vanessa Anne Hudgens
Don t Wanna Fall In Love,Jane Child,
Where'd You Go,Fort Minor,Holly Brook
Little Lies,Fleetwood Mac,
Take On Me,A-Ha,
"Batdance (From ""Batman"")",The Artist,
Will You Still Love Me?,Chicago,
In The End,Linkin Park,
California Girls,David Lee Roth,
Believe,Cher,
Name,Goo Goo Dolls,
Always,Atlantic Starr,
4 Minutes,Madonna,Justin Timberlake
"Glory Of Love (Theme From ""The Karate Kid Part II"")",Peter Cetera,
My Heart Can t Tell You No,Rod Stewart,
Losing My Religion,R.E.M.,
I Don t Have The Heart,James Ingram,
The Next Time I Fall,Peter Cetera,Amy Grant
Why Can t This Be Love,Van Halen,
Romantic,Karyn White,
Big Love,Fleetwood Mac,
Whatcha Say,Jason DeRulo,
When It s Love,Van Halen,
Bad Day,Daniel Powter,
Under The Bridge,Red Hot Chili Peppers,
My Love Is The Shhh!,Somethin' For The People,Trina
Money For Nothing,Dire Straits,
In My Head,Jason Derulo,
High Enough,Damn Yankees,
Harlem Shake,Baauer,
Rhythm Of My Heart,Rod Stewart,
Downtown Train,Rod Stewart,
Lean On Me,Club Nouveau,
Have I Told You Lately,Rod Stewart,
Breathe,Faith Hill,
"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,
We Are The World 25: For Haiti,Artists For Haiti,
Without Me,Eminem,
Cleanin' Out My Closet,Eminem,
Gotta Tell You,Samantha Mumba,
Bring Me To Life,Evanescence,Paul McCoy
With Arms Wide Open,Creed,
My Sacrifice,Creed,
Save The Best For Last,Vanessa Williams,
If You Had My Love,Jennifer Lopez,
Save Tonight,Eagle-Eye Cherry,
"Kiss From A Rose (From ""Batman Forever"")",Seal,
I'm N Luv (Wit A Stripper),T-Pain,Mike Jones
With You,Chris Brown,
My Love,Justin Timberlake,T.I.
SexyBack,Justin Timberlake,
Love In This Club,Usher,Young Jeezy
Crush,David Archuleta,
Bartender,T-Pain,Akon
Womanizer,Britney Spears,
Gimme More,Britney Spears,
Forever,Chris Brown,
Run It!,Chris Brown,
Circus,Britney Spears,
So What,Pink,
What Goes Around...Comes Around,Justin Timberlake,
Buy U A Drank (Shawty Snappin'),T-Pain,Yung Joc
Kiss Kiss,Chris Brown,T-Pain
No Air,Jordin Sparks,Chris Brown
