song_title,artist1,artist2,SO,AR,AR_code_for_a1_a2,AR_Notes,genre
Begin Again,Taylor Swift,,,,,,
Behind These Hazel Eyes,Kelly Clarkson,,,,,,
Believe,Cher,,,,,,
Bent,matchbox twenty,,,,,,
Berzerk,Eminem,,,,,,
Best I Ever Had,Drake,,,,,,
Best Song Ever,One Direction,,,,,,
Beverly Hills,Weezer,,,,,,
Big Girls Don't Cry,Fergie,,,,,,
Big Love,Fleetwood Mac,,,,,,
Big Poppa/Warning,The Notorious B.I.G.,,,,,,
Big Things Poppin',T.I.,,,,,,
Big Time,Peter Gabriel,,,,,,
Billionaire,Travie McCoy,Bruno Mars,,,,,
Bills  Bills  Bills,Destiny's Child,,,,,,
Birthday Sex,Jeremih,,,,,,
Bitch,Meredith Brooks,,,,,,
Black And Yellow,Wiz Khalifa,,,,,,
Black Cat,Janet Jackson,,,,,,
Black Or White,Michael Jackson,,,,,,
Black Velvet,Alannah Myles,,,,,,
Blah Blah Blah,Kesha,3OH!3,,,,,
Blame It,Jamie Foxx,T-Pain,,,,,
Blame It On The Rain,Milli Vanilli,,,,,,
Blaze Of Glory,Jon Bon Jovi,,,,,,
Bleeding Love,Leona Lewis,,,,,,
Blow,Kesha,,,,,,
Blow Me,P!nk,,,,,,
Blowing Kisses In The Wind,Paula Abdul,,,,,,
Blue,Eiffel 65,,,,,,
Blurred Lines,Robin Thicke,T.I.,Pharrell,,,,
Blurry,Puddle Of Mudd,,,,,,
Body Bumpin' Yippie-Yi-Yo,Public Announcement,,,,,,
Bohemian Rhapsody,Queen,,,,,,
Boom Boom Pow,The Black Eyed Peas,,,,,,
Boombastic/In The Summertime,Shaggy,,,,,,
Bootylicious,Destiny's Child,,,,,,
Born In The USA,Bruce Springsteen,,,,,,
Born This Way,Lady Gaga,,,,,,
Born To Be My Baby,Bon Jovi,,,,,,
Bottoms Up,Trey Songz,Nicki Minaj,,,,,
Boulevard Of Broken Dreams,Green Day,,,,,,
Boyfriend,Justin Bieber,,,,,,
Break It Off,Rihanna,Sean Paul,,,,,
Break Your Heart,Taio Cruz,Ludacris,,,,,
Breakaway,Kelly Clarkson,,,,,,
Breakfast At Tiffany's,Deep Blue Something,,,,,,
Breakin My Heart,Mint Condition,,,,,,
Breaking Free,Zac Efron,Vanessa Anne Hudgens,,,,,
Breakout,Swing Out Sister,,,,,,
Breathe,Fabolous,,,,,,
Breathe,Faith Hill,,,,,,
Breathe Again,Toni Braxton,,,,,,
Brilliant Disguise,Bruce Springsteen,,,,,,
Bring Em Out,T.I.,,,,,,
Bring It All To Me,Blaque,,,,,,
Bring Me To Life,Evanescence,Paul McCoy,,,,,
Broken Wings,Mr. Mister,,,,,,
Brokenhearted,Brandy,,,,,,
Bubbly,Colbie Caillat,,,,,,
Buffalo Stance,Neneh Cherry,,,,,,
Bulletproof,La Roux,,,,,,
Bump N Grind,R. Kelly,,,,,,
Bump  Bump  Bump,B2K,P. Diddy,,,,,
Burn,Usher,,,,,,
Burnin' Up,Jonas Brothers,,,,,,
Burning Heart,Survivor,,,,,,
Bust A Move,Young MC,,,,,,
Bust It Baby,Plies,Ne-Yo,,,,,
Butterfly,Crazy Town,,,,,,
Buttons,The Pussycat Dolls,Snoop Dogg,,,,,
Buy U A Drank,T-Pain,Yung Joc,,,,,
Bye Bye Bye,'N Sync,,,,,,
C Mon And Get My Love,D-Mob,Cathy Dennis,,,,,
C'est La Vie,B*Witched,,,,,,
C'est La Vie,Robbie Nevil,,,,,,
C'mon N' Ride It,Quad City DJ's,,,,,,
California Girls,David Lee Roth,,,,,,
California Gurls,Katy Perry,Snoop Dogg,,,,,
Call Me Maybe,Carly Rae Jepsen,,,,,,
Call Me When You're Sober,Evanescence,,,,,,
Can We Talk,Tevin Campbell,,,,,,
Can You Feel The Love Tonight,Elton John,,,,,,
Can't Be Tamed,Miley Cyrus,,,,,,
Can't Believe It,T-Pain,Lil Wayne,,,,,
Can't Fight This Feeling,REO Speedwagon,,,,,,
Can't Get You Out Of My Head,Kylie Minogue,,,,,,
Can't Help Falling In Love,UB40,,,,,,
Can't Hold Us,Macklemore,Ryan Lewis,Ray Dalton,,,,
Can't Let Go,Mariah Carey,,,,,,
Can't Let You Go,Fabolous,Mike Shorey,Lil Mo,,,,
Can't Nobody Hold Me Down,Puff Daddy,Mase,,,,,
Can't Stay Away From You,Gloria Estefan,Miami Sound Machine,,,,,
Can't Stop,After 7,,,,,,
Can't Stop This Thing We Started,Bryan Adams,,,,,,
Can't We Try,Dan Hill,Vonda Shepard,,,,,
Candle In The Wind,Elton John,,,,,,
Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,,,,,,
Candy Rain,Soul For Real,,,,,,
Candy Shop,50 Cent,Olivia,,,,,
Cantaloop,US 3,,,,,,
Careless Whisper,Wham!,,,,,,
Carnival,Natalie Merchant,,,,,,
Carrie,Europe,,,,,,
Casanova,Levert,,,,,,
Case Of The Ex,Mya,,,,,,
Cat's In The Cradle,Ugly Kid Joe,,,,,,
Catch Me,Pretty Poison,,,,,,
Caught Up,Usher,,,,,,
Causing A Commotion,Madonna,,,,,,
Chain Hang Low,Jibbs,,,,,,
Change,Taylor Swift,,,,,,
Change Clothes,Jay-Z,,,,,,
Change Of Heart,Cyndi Lauper,,,,,,
Change The World,Eric Clapton,,,,,,
Chante's Got A Man,Chante Moore,,,,,,
Chasing Cars,Snow Patrol,,,,,,
Check On It,Beyonce,Slim Thug,,,,,
Cheers,Rihanna,,,,,,
Cherish,Kool And The Gang,,,,,,
Cherish,Madonna,,,,,,
Cherry Bomb,John Mellencamp,,,,,,
Cherry Pie,Warrant,,,,,,
Circle In The Sand,Belinda Carlisle,,,,,,
Circus,Britney Spears,,,,,,
Clarity,Zedd,Foxes,,,,,
Cleanin' Out My Closet,Eminem,,,,,,
Close My Eyes Forever,Lita Ford,Ozzy Osbourne,,,,,
Close To You,Maxi Priest,,,,,,
Closer,Ne-Yo,,,,,,
Club Can't Handle Me,Flo Rida,David Guetta,,,,,
Clumsy,Fergie,,,,,,
Cold Hearted,Paula Abdul,,,,,,
Colors Of The Wind,Vanessa Williams,,,,,,
Come  Get It,Selena Gomez,,,,,,
Come Back To Me,Janet Jackson,,,,,,
Come Go With Me,Expose,,,,,,
Come On Over Baby,Christina Aguilera,,,,,,
Come To Me,Diddy,Nicole Scherzinger,,,,,
Come Undone,Duran Duran,,,,,,
Come With Me,Puff Daddy,Jimmy Page,,,,,
Comforter,Shai,,,,,,
Coming Out Of The Dark,Gloria Estefan,,,,,,
Complicated,Avril Lavigne,,,,,,
Confessions Part II,Usher,,,,,,
Conga,Miami Sound Machine,,,,,,
Control,Janet Jackson,,,,,,
Control Myself,LL Cool J,Jennifer Lopez,,,,,
Cool It Now,New Edition,,,,,,
Cooler Than Me,Mike Posner,,,,,,
Could've Been,Tiffany,,,,,,
Count On Me,Whitney Houston,CeCe Winans,,,,,
Counting Stars,OneRepublic,,,,,,
Cover Girl,New Kids On The Block,,,,,,
Crack A Bottle,Eminem,Dr. Dre,50 Cent,,,,
Cradle Of Love,Billy Idol,,,,,,
Crank That,Soulja Boy,,,,,,
Crazy,Gnarls Barkley,,,,,,
Crazy,Seal,,,,,,
Crazy For You,Madonna,,,,,,
Crazy In Love,Beyonce,Jay-Z,,,,,
Cream,Prince And The New Power Generation,,,,,,
Creep,TLC,,,,,,
Cross My Broken Heart,The Jets,,,,,,
Cruel Summer,Ace Of Base,,,,,,
Cruise,Florida Georgia Line,Nelly,,,,,
Crush,David Archuleta,,,,,,
Crush,Jennifer Paige,,,,,,
Crush On You,The Jets,,,,,,
Cry,Waterfront,,,,,,
Cry For Help,Rick Astley,,,,,,
Cry Me A River,Justin Timberlake,,,,,,
Cupid's Chokehold,Gym Class Heroes,Patrick Stump,,,,,
Cups,Anna Kendrick,,,,,,
Cyclone,Baby Bash,T-Pain,,,,,
DJ Got Us Fallin' In Love,Usher,Pitbull,,,,,
Damaged,Danity Kane,,,,,,
Damn I Wish I Was Your Lover,Sophie B. Hawkins,,,,,,
Damn!,YoungBloodZ,Lil Jon,,,,,
Dance,Big Sean,Nicki Minaj,,,,,
Dance With Me,Debelah Morgan,,,,,,
Dance  Dance,Fall Out Boy,,,,,,
Dancing In The Street,Mick Jagger,,,,,,
Dancing On The Ceiling,Lionel Richie,,,,,,
Danger Zone,Kenny Loggins,,,,,,
Dangerous,Busta Rhymes,,,,,,
Dangerous,Kardinal Offishall,Akon,,,,,
Dangerous,Roxette,,,,,,
Dani California,Red Hot Chili Peppers,,,,,,
Day 'N' Nite,Kid Cudi,,,,,,
Daydreamin',Tatyana Ali,,,,,,
Daylight,Maroon 5,,,,,,
Dead And Gone,T.I.,Justin Timberlake,,,,,
Dear Mama/Old School,2Pac,,,,,,
Deeper And Deeper,Madonna,,,,,,
Deja Vu,Beyonce,Jay-Z,,,,,
Deja Vu [Uptown Baby],Lord Tariq,Peter Gunz,,,,,
Demons,Imagine Dragons,,,,,,
Desire,U2,,,,,,
Devil Inside,INXS,,,,,,
Diamonds,Herb Alpert,Janet Jackson,,,,,
Diamonds,Rihanna,,,,,,
Diamonds And Pearls,Prince And The New Power Generation,,,,,,
Diary,Alicia Keys,Tony! Toni! Tone!,,,,,
Didn't I,New Kids On The Block,,,,,,
Didn't We Almost Have It All,Whitney Houston,,,,,,
Die Another Day,Madonna,,,,,,
Die Young,Kesha,,,,,,
Differences,Ginuwine,,,,,,
Diggin' On You,TLC,,,,,,
Dilemma,Nelly,Kelly Rowland,,,,,
Dip It Low,Christina Milian,,,,,,
Dirt Off Your Shoulder,Jay-Z,,,,,,
Dirt Road Anthem,Jason Aldean,Ludacris,,,,,
Dirty Diana,Michael Jackson,,,,,,
Dirty Little Secret,The All-American Rejects,,,,,,
Disappear,INXS,,,,,,
Disco Inferno,50 Cent,,,,,,
Discotheque,U2,,,,,,
Disturbia,Rihanna,,,,,,
Ditty,Paperboy,,,,,,
Do Anything,Natural Selection,,,,,,
Do I Make You Proud,Taylor Hicks,,,,,,
Do Me!,Bell Biv Devoe,,,,,,
Do You Know,Robyn,,,,,,
Do You Remember,Jay Sean,Sean Paul,Lil Jon,,,,
Do You Remember?,Phil Collins,,,,,,
Doesn't Really Matter,Janet Jackson,,,,,,
Doin It,LL Cool J,,,,,,
Doing It All For My Baby,Huey Lewis And The News,,,,,,
Domino,Jessie J,,,,,,
Don't Be Cruel,Bobby Brown,,,,,,
Don't Be Cruel,Cheap Trick,,,,,,
Don't Cha,The Pussycat Dolls,Busta Rhymes,,,,,
Don't Cry,Guns N Roses,,,,,,
Don't Cry For Me Argentina,Madonna,,,,,,
Don't Disturb This Groove,The System,,,,,,
Don't Dream It's Over,Crowded House,,,,,,
Don't Forget About Us,Mariah Carey,,,,,,
Don't Forget Me,Glass Tiger,,,,,,
Don't Get Me Wrong,Pretenders,,,,,,
Don't Know Much,Linda Ronstadt,Aaron Neville,,,,,
Don't Let Go,En Vogue,,,,,,
Don't Let Me Get Me,P!nk,,,,,,
Don't Let The Sun Go Down On Me,George Michael,Elton John,,,,,
Don't Lose My Number,Phil Collins,,,,,,
Don't Matter,Akon,,,,,,
Don't Mean Nothing,Richard Marx,,,,,,
Don't Mess With My Man,Nivea,Brian,Brandon Casey,,,,
Don't Phunk With My Heart,The Black Eyed Peas,,,,,,
Don't Rush Me,Taylor Dayne,,,,,,
Don't Shed A Tear,Paul Carrack,,,,,,
Don't Stop Believin',Glee Cast,,,,,,
Don't Stop The Music,Rihanna,,,,,,
Don't Take It Personal,Monica,,,,,,
Don't Tell Me,Madonna,,,,,,
Don't Tell Me Lies,Breathe,,,,,,
Don't Trust Me,3OH!3,,,,,,
Don't Turn Around,Ace Of Base,,,,,,
Don't Wake Me Up,Chris Brown,,,,,,
Don't Walk Away,Jade,,,,,,
Don't Wanna Fall In Love,Jane Child,,,,,,
Don't Wanna Lose You,Gloria Estefan,,,,,,
Don't Want To Be A Fool,Luther Vandross,,,,,,
Don't Worry  Be Happy,Bobby McFerrin,,,,,,
Don't You,Simple Minds,,,,,,
Don't You Know What The Night Can Do?,Steve Winwood,,,,,,
Don't You Want Me,Jody Watley,,,,,,
Don't You Worry Child,Swedish House Mafia,John Martin,,,,,
Doo Wop,Lauryn Hill,,,,,,
Dope,Lady Gaga,,,,,,
Down,Jay Sean,Lil Wayne,,,,,
Down 4 U,Irv Gotti,The Inc.,Ja Rule,Ashanti,,,
Down Low,R. Kelly,Ronald Isley,,,,,
Down On Me,Jeremih,50 Cent,,,,,
Downtown Train,Rod Stewart,,,,,,
Dr. Feelgood,Motley Crue,,,,,,
Dre Day,Dr. Dre,,,,,,
Dreamin,Vanessa Williams,,,,,,
Dreamlover,Mariah Carey,,,,,,
Dreamtime,Daryl Hall,,,,,,
Dress You Up,Madonna,,,,,,
Drift Away,Uncle Kracker,Dobie Gray,,,,,
Drive,Incubus,,,,,,
Drive By,Train,,,,,,
Drop It Like It's Hot,Snoop Dogg,Pharrell,,,,,
Drops Of Jupiter,Train,,,,,,
Dynamite,Taio Cruz,,,,,,
E.T.,Katy Perry,Kanye West,,,,,
Easy Lover,Philip Bailey,Phil Collins,,,,,
Election Day,Arcadia,,,,,,
Electric Blue,Icehouse,,,,,,
Emotion,Destiny's Child,,,,,,
Emotions,Mariah Carey,,,,,,
Empire State Of Mind,Jay-Z,Alicia Keys,,,,,
End Of The Road,Boyz II Men,,,,,,
Endless Love,Luther Vandross,,,,,,
Endless Summer Nights,Richard Marx,,,,,,
Enjoy The Silence,Depeche Mode,,,,,,
Epic,Faith No More,,,,,,
Erotica,Madonna,,,,,,
Escapade,Janet Jackson,,,,,,
Eternal Flame,Bangles,,,,,,
Every Girl,Young Money,,,,,,
Every Heartbeat,Amy Grant,,,,,,
Every Little Step,Bobby Brown,,,,,,
Every Morning,Sugar Ray,,,,,,
Every Rose Has Its Thorn,Poison,,,,,,
Every Time I Close My Eyes,Babyface,,,,,,
Everybody Everybody,Black Box,,,,,,
Everybody Have Fun Tonight,Wang Chung,,,,,,
Everybody Plays The Fool,Aaron Neville,,,,,,
Everybody Talks,Neon Trees,,,,,,
Everybody Wants To Rule The World,Tears For Fears,,,,,,
Everybody [Backstreet's Back],Backstreet Boys,,,,,,
Everything,Jody Watley,,,,,,
Everything About You,Ugly Kid Joe,,,,,,
Everything She Wants,Wham!,,,,,,
Everything You Want,Vertical Horizon,,,,,,
Everything Your Heart Desires,Hall And Oates,,,,,,
Everytime We Touch,Cascada,,,,,,
Everytime You Go Away,Paul Young,,,,,,
Excuse Me Miss,Jay-Z,,,,,,
Exhale,Whitney Houston,,,,,,
Express Yourself,Madonna,,,,,,
Faded Pictures,Case,,,,,,
Fading Like A Flower,Roxette,,,,,,
Faith,George Michael,,,,,,
Fallin',Alicia Keys,,,,,,
Family Affair,Mary J. Blige,,,,,,
Fantastic Voyage,Coolio,,,,,,
Fantasy,Mariah Carey,,,,,,
Far Away,Nickelback,,,,,,
Fast Car,Tracy Chapman,,,,,,
Fastlove,George Michael,,,,,,
Father Figure,George Michael,,,,,,
Fearless,Taylor Swift,,,,,,
Feel So Good,Mase,,,,,,
Feel This Moment,Pitbull,Christina Aguilera,,,,,
Feels Good,Tony Toni Tone,,,,,,
Fergalicious,Fergie,,,,,,
Fiesta,R. Kelly,Jay-Z,,,,,
Finally,CeCe Peniston,,,,,,
Find Your Love,Drake,,,,,,
Fire Burning,Sean Kingston,,,,,,
Fireflies,Owl City,,,,,,
Firework,Katy Perry,,,,,,
Flava In Ya Ear,Craig Mack,,,,,,
Fly Like An Eagle,Seal,,,,,,
Flying Without Wings,Ruben Studdard,,,,,,
Follow Me,Uncle Kracker,,,,,,
Follow You Down/Til I Hear It From You,Gin Blossoms,,,,,,
Foolish,Ashanti,,,,,,
Foolish Beat,Debbie Gibson,,,,,,
Foolish Games/You Were Meant For Me,Jewel,,,,,,
For You I Will,Monica,,,,,,
Forever,Chris Brown,,,,,,
Forever,Drake,Kanye West,Lil Wayne,Eminem,,,
Forever,Kiss,,,,,,
Forever Your Girl,Paula Abdul,,,,,,
Fortress Around Your Heart,Sting,,,,,,
Fortunate,Maxwell,,,,,,
Freak Like Me,Adina Howard,,,,,,
Freak Me,Silk,,,,,,
Free As A Bird,The Beatles,,,,,,
Free Fallin,Tom Petty,,,,,,
Free Your Mind,En Vogue,,,,,,
Freedom,George Michael,,,,,,
Freedom,Wham!,,,,,,
Freek-A-Leek,Petey Pablo,,,,,,
Freeway Of Love,Aretha Franklin,,,,,,
Fresh,Kool And The Gang,,,,,,
Friends,Jody Watley,Eric B.,,,,,
Friends And Lovers,Carl Anderson,,,,,,
From A Distance,Bette Midler,,,,,,
From This Moment On,Shania Twain,,,,,,
Frontin',Pharrell,Jay-Z,,,,,
Frozen,Madonna,,,,,,
Fuck You,Cee Lo Green,,,,,,
Fuckin Problems,AsAP Rocky,Drake,2 Chainz,Kendrick Lamar,,,
Fuckin' Perfect,P!nk,,,,,,
Funkdafied,Da Brat,,,,,,
Funky Cold Medina,Tone-Loc,,,,,,
Funkytown,Pseudo Echo,,,,,,
G.H.E.T.T.O.U.T.,Changing Faces,,,,,,
Gangnam Style,PSY,,,,,,
Gangsta Lean,DRS,,,,,,
Gangsta Lovin',Eve,Alicia Keys,,,,,
Gangsta's Paradise,Coolio,L.V.,,,,,
Genie In A Bottle,Christina Aguilera,,,,,,
Gentleman,PSY,,,,,,
Get Busy,Sean Paul,,,,,,
Get Here,Oleta Adams,,,,,,
Get It On,The Power Station,,,,,,
Get It On Tonite,Montell Jordan,,,,,,
Get It Poppin',Fat Joe,Nelly,,,,,
Get It Together,702,,,,,,
Get Low,Lil Jon,The East Side Boyz,Ying Yang Twins,,,,
Get Lucky,Daft Punk,Pharrell Williams,,,,,
Get Outta My Dreams  Get Into My Car,Billy Ocean,,,,,,
Get Over Yourself,Eden's Crush,,,,,,
Get The Party Started,P!nk,,,,,,
Get Up,Ciara,Chamillionaire,,,,,
Get Up!,Technotronic,,,,,,
Get Ur Freak On,Missy Elliot,,,,,,
Gettin' Jiggy Wit It,Will Smith,,,,,,
Getto Jam,Domino,,,,,,
Gimme More,Britney Spears,,,,,,
Gimme The Light,Sean Paul,,,,,,
Gin And Juice,Snoop Dogg,,,,,,
Girl I'm Gonna Miss You,Milli Vanilli,,,,,,
Girl On TV,LFO,,,,,,
Girl You Know It's True,Milli Vanilli,,,,,,
Girlfriend,'N Sync,Nelly,,,,,
Girlfriend,Avril Lavigne,,,,,,
Girlfriend,Pebbles,,,,,,
Girls Nite Out,Tyler Collins,,,,,,
Give It To Me,Timbaland,Nelly Furtado,Justin Timberlake,,,,
Give It To You,Jordan Knight,,,,,,
Give Me All Your Luvin',Madonna,Nicki Minaj,M.I.A.,,,,
Give Me Everything,Pitbull,Ne-Yo,Afrojack,Nayer,,,
Give Me Just One Night,98 Degrees,,,,,,
Give Me One Reason,Tracy Chapman,,,,,,
Gives You Hell,The All-American Rejects,,,,,,
Giving Him Something He Can Feel,En Vogue,,,,,,
Giving You The Benefit,Pebbles,,,,,,
Giving You The Best That I Got,Anita Baker,,,,,,
Glad You Came,The Wanted,,,,,,
Glamorous,Fergie,Ludacris,,,,,
Glory Days,Bruce Springsteen,,,,,,
Glory Of Love,Peter Cetera,,,,,,
Go Home,Stevie Wonder,,,,,,
God Bless The U.S.A.,American Idol Finalists,,,,,,
Gold Digger,Kanye West,Jamie Foxx,,,,,
Gone Till November,Wyclef Jean,,,,,,
Gonna Make You Sweat,C+C Music Factory,,,,,,
Good Enough,Bobby Brown,,,,,,
Good Feeling,Flo Rida,,,,,,
Good For Me,Amy Grant,,,,,,
Good Girls Go Bad,Cobra Starship,Leighton Meester,,,,,
Good Life,Kanye West,T-Pain,,,,,
Good Life,OneRepublic,,,,,,
Good Thing,Fine Young Cannibals,,,,,,
Good Time,Owl City,Carly Rae Jepsen,,,,,
Good Vibrations,Marky Mark,,,,,,
Goodies,Ciara,Petey Pablo,,,,,
Gossip Folks,Missy Elliot,Ludacris,,,,,
Got Money,Lil Wayne,T-Pain,,,,,
Got My Mind Set On You,George Harrison,,,,,,
Gotham City,R. Kelly,,,,,,
Gotta Be Somebody,Nickelback,,,,,,
